x,y,polygon_id,image_id,class_selected,class_AI
168.912515126455,352.2368222785919,14,3,Hamburg,Hamburg
168.912515126455,352.2368222785919,14,3,Hamburg,Hamburg
168.912515126455,352.2368222785919,14,3,Hamburg,Hamburg
168.912515126455,352.2368222785919,14,3,Hamburg,Hamburg
461.38641686840305,374.1784853173381,14,3,Hamburg,Hamburg
461.38641686840305,374.1784853173381,14,3,Hamburg,Hamburg
461.38641686840305,374.1784853173381,14,3,Hamburg,Hamburg
461.38641686840305,374.1784853173381,14,3,Hamburg,Hamburg
244.46827307645822,198.64518100736856,14,3,Hamburg,Hamburg
244.46827307645822,198.64518100736856,14,3,Hamburg,Hamburg
244.46827307645822,198.64518100736856,14,3,Hamburg,Hamburg
244.46827307645822,198.64518100736856,14,3,Hamburg,Hamburg
